	19-03-26-R1-N1-A	19-03-26-R1-N1-B	19-03-26-R1-N1-C	19-03-26-R1-N1-D	19-03-26-R1-N2-C	22-01-18-R1-N1-B	22-01-18-R1-N1-C	22-01-18-R1-N1-D	22-01-18-R1-N2-A	22-01-18-R1-N2-B	22-01-18-R1-N2-C	22-01-18-R1-N2-D	22-01-25-R1-N1-A	22-01-25-R1-N1-B	22-01-25-R1-N1-D	22-01-25-R1-N2-A	22-01-25-R1-N2-B	22-01-25-R1-N2-D	22-03-22-R1-N1-B	22-03-22-R1-N1-C	22-03-22-R1-N1-D	22-03-22-R1-N2-B	22-03-22-R1-N2-D
p__Crenarchaeota	0.130391068159309	0.154755711461569	0.156564090768169	0.138380229269019	0.148888020243998	0.0471319537335746	0.0737059264816204	0.0799440695483008	0.0555410691003911	0.072231884057971	0.0688957799649454	0.0531103176094719	0.0619798433823788	0.0773125755743652	0.0516188714153561	0.120521478146689	0.0905806796895906	0.146578798331875	0.0668824163969795	0.0631659056316591	0.0672641323616309	0.050966942936077	0.0499235474006116
p__Nitrospirota	0.183483898076173	0.171730309020914	0.181036293266394	0.120663986898913	0.0910568436644928	0.113462900306869	0.204988747186797	0.0737430846859991	0.185571490656236	0.162086956521739	0.184036672509101	0.171396354068784	0.206693120764125	0.192412333736397	0.125346901017576	0.185893828549991	0.238560342520739	0.174947227513772	0.203007011866235	0.177016742770167	0.171951940122119	0.13489568448128	0.147935779816514
p__Proteobacteria	0.367117860680092	0.361460826136718	0.341300717064536	0.403007294923329	0.41749130783632	0.533716264064836	0.433608402100525	0.535169311204329	0.449022164276402	0.450086956521739	0.463125252797627	0.449201277955272	0.425571513853285	0.428355501813785	0.534782608695652	0.395891952729319	0.395236820979395	0.349688513617876	0.420779395900755	0.424961948249619	0.439728185936577	0.508049919024483	0.477599388379205
p__Actinobacteriota	0.14203607551247	0.1315011073621	0.175495794621516	0.170463004317404	0.0999033061081737	0.0549217090251003	0.102213053263316	0.0553833059760472	0.110691003911343	0.115246376811594	0.0893892409329918	0.125615485810938	0.11967552761878	0.122052599758162	0.0592969472710453	0.099230913524667	0.0994112924805994	0.112855892498584	0.118055555555556	0.159665144596651	0.103210557415797	0.0668762503572449	0.0761467889908257
p__Bacteroidota	0.0262762988084876	0.0278549875886261	0.0272624536208259	0.0272443054935239	0.0444791902400889	0.0420174679361083	0.0232558139534884	0.0365371755121892	0.0304215558452847	0.0396521739130435	0.0284481596332749	0.0275887990979139	0.019664992801208	0.0229746070133011	0.0378353376503238	0.0225098480585256	0.0183302113995183	0.0191525510992123	0.0266990291262136	0.0216133942161339	0.0302343903880244	0.032294941411832	0.0279051987767584
p__Myxococcota	0.028947447402383	0.024547765209507	0.0150113510215919	0.0157064165550097	0.0404674223877219	0.0250216382091431	0.0120030007501875	0.0184813666484285	0.0135593220338983	0.0154202898550725	0.0156397465282459	0.0153354632587859	0.0136952628436984	0.0179111245465538	0.0220166512488437	0.0107859688613769	0.0090982071180091	0.0124079699325542	0.0136866235167206	0.00882800608828006	0.0148709868032303	0.0196246546632371	0.0223241590214067
p__Acidobacteriota	0.0434887001410607	0.0416412741352914	0.0339130521746957	0.0424296560964716	0.0513917748472442	0.0592493508537257	0.0560765191297824	0.0534986929296614	0.0534984789222077	0.0584347826086957	0.063098287717406	0.0551775981958279	0.058398005407873	0.0559250302297461	0.0540240518038853	0.0674357531419996	0.0618142895370618	0.0689388868866807	0.0604099244875944	0.0569254185692542	0.0560370297419736	0.0533485757835572	0.0589449541284404
p__Desulfobacterota	0.00405174224916714	0.00529898776699318	0.00433038973507616	0.00394521363704035	0.00329170695578826	0.0118813439294988	0.0095648912228057	0.00893671347802298	0.00634506736201651	0.00672463768115942	0.00876365107186194	0.0064273632775794	0.00754995259332093	0.00884220072551391	0.0101757631822387	0.00862877508910148	0.00695745250200696	0.00622972764248571	0.00734897518878101	0.00730593607305936	0.00866653535552492	0.0138134705153853	0.00909785932721712
p__Planctomycetota	0.0201986854347369	0.030277806679846	0.0177215949435449	0.0169718624385887	0.0343160450140926	0.0383979856794398	0.0288822205551388	0.0459602407441182	0.0269882659713168	0.0284057971014493	0.029661588243225	0.0317985341101297	0.0280928468588686	0.0253929866989117	0.0374653098982424	0.0362033389607953	0.0263580412095264	0.042526901096638	0.0300701186623517	0.0267884322678843	0.0346661414220997	0.0412498809183576	0.0408256880733945
p__Dadabacteria	0.00565743269605931	0.007692079016603	0.00657059135322179	0.00833705523299092	0.00652169440615549	0.0137697694547171	0.00637659414853713	0.0148945224633716	0.0113863537592351	0.0102028985507246	0.00903330187407307	0.0098477729750047	0.0136250307265513	0.0101269649334946	0.00851063829787234	0.0131307447008066	0.0094995986085095	0.0226535550635844	0.00957389428263215	0.0132420091324201	0.023143588733504	0.00914547013432409	0.0077217125382263
p__Verrucomicrobiota	0.0178276658963354	0.0106574312172065	0.0120210818973708	0.0245645377400625	0.0176312053819409	0.0227397906995043	0.0303825956489122	0.0172654872636634	0.0235984354628422	0.0137971014492754	0.0103815558851288	0.01736515692539	0.0187168592197212	0.0179866989117291	0.0139685476410731	0.012849371600075	0.0236820979395237	0.0100396437213613	0.0135517799352751	0.0193302891933029	0.0218633051014379	0.0316280842145375	0.0382262996941896
p__Gemmatimonadota	0.00123052912752484	0.000468213505358443	0.000610054904941445	0.000744379931517046	0.000987512086736478	0.0114879219450783	0.00693923480870218	0.0182381907714755	0.00882225119513255	0.0103188405797101	0.0103815558851288	0.0099981206540124	0.0041788109702567	0.00377871825876663	0.0169287696577243	0.00497092477959107	0.00615466952100615	0.00442774030788241	0.0112594390507012	0.00776255707762557	0.00630293480401812	0.0174335524435553	0.0194189602446483
p__Chloroflexi	0.0130406074612083	0.0160010107466147	0.0131311818063626	0.00684829536995683	0.0167465591375728	0.0138484538516012	0.00656414103525881	0.0231017083105356	0.0132985658409387	0.0110144927536232	0.00835917486854523	0.0108626198083067	0.0148189767180532	0.00959794437726723	0.0175763182238668	0.0154755205402364	0.0104361787530104	0.0217783040724914	0.0103155339805825	0.00867579908675799	0.0112271026196573	0.0112413070401067	0.0126146788990826
p__MBNT15	0.00220594855787989	0.00190258186304383	0.00155013951255613	0.00193538782194432	0.00199559734194663	0.00527185459123456	0.00337584396099025	0.00832877378564047	0.00421555845284659	0.00150724637681159	0.00606714304975057	0.00616425483931592	0.00424904308740387	0.00430773881499395	0.0061054579093432	0.00328268617520165	0.00173936312550174	0.00298615044019976	0.00485436893203883	0.00365296803652968	0.00196966712625566	0.00323902067257312	0.00634556574923547
p__Patescibacteria	0.00387166481587082	0.00355990903280467	0.00364032762948665	0.00617835343159148	0.00528730429773489	0.000393421984420489	0	0	0.000434593654932638	0	0.000404476203316705	0.0007141514752866	0.000140464234294343	0.00030229746070133	0.000277520814061055	0	0	0	0	0	0.00453023439038802	0.00123844908068972	0.000535168195718654
p__Cyanobacteria	0.00331642606320718	0.00412473802339581	0.00339030512746147	0.00305195771921989	0.00668627975394491	0.000708159571956881	0	0.00267493464648307	0.00147761842677097	0.000695652173913044	0.000539301604422273	0.000526216876526969	0.000386276644309443	0.000529020556227328	0	0.00084411930219471	0.000936580144500937	0.000360397466920661	0.000202265372168285	0	0.000492416781563916	0.00161951033628656	0.000688073394495413
p__Bdellovibrionota	0.00382664545754674	0.00362679667642731	0.00438039423548119	0.00722048533571535	0.00703602361799741	0.000550790778188685	0.00112528132033008	0.00316128640038908	0.00160799652325076	0.00127536231884058	0.000674127005527841	0.00251832362337906	0.000456508761456614	0.000453446191051995	0.000925069380203515	0.00075032826861752	0.000401391490500401	0.000411882819337898	0.000606796116504854	0	0.00187118376994288	0.000381061255596837	0.00122324159021407
p__Sumerlaeota	0.000705303280410577	0.000780355842264072	0.000300027002430219	0	0.00218075585820972	0.000629475175072783	0.000937734433608402	0.00139826129247979	0	0.000927536231884058	0.00134825401105568	0.000977259913550085	0.000280928468588686	0	0.00129509713228492	0.00037516413430876	0.000802782981000803	0.000669309581424085	0.000471952535059331	0	0	0.00133371439458893	0.00099388379204893
