# Constructed from biom file																								
#OTU ID	19-03-26-R1-N1-A	19-03-26-R1-N1-B	19-03-26-R1-N1-C	19-03-26-R1-N1-D	19-03-26-R1-N2-C	22-01-18-R1-N1-B	22-01-18-R1-N1-C	22-01-18-R1-N1-D	22-01-18-R1-N2-A	22-01-18-R1-N2-B	22-01-18-R1-N2-C	22-01-18-R1-N2-D	22-01-25-R1-N1-A	22-01-25-R1-N1-B	22-01-25-R1-N1-D	22-01-25-R1-N2-A	22-01-25-R1-N2-B	22-01-25-R1-N2-D	22-03-22-R1-N1-B	22-03-22-R1-N1-C	22-03-22-R1-N1-D	22-03-22-R1-N2-B	22-03-22-R1-N2-D	taxonomy
LOWRY-BTS-1	8689	20820	15655	1859	7237	591	393	1301	1263	623	504	1389	1765	1023	558	1285	677	2847	992	415	683	535	653	d__Archaea; p__Crenarchaeota; c__Nitrososphaeria; o__Nitrososphaerales; f__Nitrososphaeraceae; g__Candidatus_Nitrocosmicus
LOWRY-BTS-2	7068	14261	10552	1091	2435	1014	833	909	3469	1091	1019	3543	4636	1990	910	1517	1381	2746	2299	885	1279	960	1383	d__Bacteria; p__Nitrospirota; c__Nitrospiria; o__Nitrospirales; f__Nitrospiraceae; g__Nitrospira
LOWRY-BTS-3	4697	10391	4966	641	4641	1676	320	1530	1520	849	691	1717	1860	765	1191	530	386	929	920	361	867	840	999	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Nitrosomonadaceae; g__mle1-7; s__uncultured_beta
LOWRY-BTS-4	2873	5850	3353	697	2088	624	247	826	764	321	295	816	923	401	570	373	247	584	509	217	350	534	544	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Steroidobacterales; f__Steroidobacteraceae; g__Steroidobacter
LOWRY-BTS-5	3122	5413	5699	918	1193	196	174	193	807	266	190	872	894	432	166	268	189	509	603	353	339	213	317	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Pseudonocardiales; f__Pseudonocardiaceae; g__Pseudonocardia
LOWRY-BTS-6	3155	5654	5947	285	1111	116	97	62	375	103	123	372	571	235	110	177	141	280	305	116	148	108	141	d__Bacteria; p__Nitrospirota; c__Nitrospiria; o__Nitrospirales; f__Nitrospiraceae; g__Nitrospira; s__Nitrospira_defluvii
LOWRY-BTS-7	1152	2243	1133	230	1095	397	128	661	543	239	235	612	538	367	419	301	216	418	363	149	273	356	419	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Parvularculaceae; g__Amphiplicatus
LOWRY-BTS-8	992	1823	1941	276	392	116	136	215	497	221	159	623	727	311	172	216	249	349	312	270	206	188	241	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Hyphomicrobium
LOWRY-BTS-9	1576	2430	1102	132	711	202	69	101	205	128	104	330	303	132	234	143	115	185	209	69	208	190	199	d__Bacteria; p__Nitrospirota; c__Nitrospiria; o__Nitrospirales; f__Nitrospiraceae; g__Nitrospira; s__Nitrospira_bacterium
LOWRY-BTS-10	1167	2395	1641	207	1280	197	32	167	173	155	65	240	176	96	146	96	61	150	121	40	143	77	104	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Saprospiraceae; g__Phaeodactylibacter
LOWRY-BTS-11	697	1275	927	109	423	301	120	378	487	195	138	608	499	249	244	214	144	300	294	96	243	308	304	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__uncultured; f__uncultured; g__uncultured; s__uncultured_Rhodobacteraceae
LOWRY-BTS-12	534	716	610	157	196	232	184	426	401	118	140	575	825	454	260	336	194	426	324	212	204	219	216	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Methyloligellaceae; g__uncultured
LOWRY-BTS-13	507	1276	615	220	457	271	81	535	461	115	176	408	288	192	236	193	131	281	224	83	183	246	339	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Parvularculaceae; g__Amphiplicatus; s__uncultured_Rhizobiales
LOWRY-BTS-14	534	824	1027	153	240	157	105	252	418	148	152	553	785	323	122	181	160	290	265	123	172	152	212	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Amb-16S-1323; g__Amb-16S-1323; s__uncultured_bacterium
LOWRY-BTS-15	569	1065	851	120	795	286	80	366	352	106	134	323	236	123	143	89	57	132	284	107	258	355	351	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Rhodocyclaceae; g__Sulfuritalea
LOWRY-BTS-16	713	1285	1355	211	243	135	82	143	276	80	99	367	400	177	127	123	103	238	209	85	116	159	209	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__uncultured; f__uncultured; g__uncultured; s__uncultured_bacterium
LOWRY-BTS-17	760	1606	1383	165	731	75	69	107	180	93	42	244	333	131	70	124	75	204	125	99	95	88	82	d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__Solirubrobacterales; f__67-14; g__67-14; s__metagenome
LOWRY-BTS-18	1221	1924	577	143	1074	131	48	123	143	73	67	150	211	128	114	67	52	120	73	34	69	49	75	d__Bacteria; p__Myxococcota; c__Polyangia; o__Haliangiales; f__Haliangiaceae; g__Haliangium
LOWRY-BTS-19	363	1046	746	84	287	128	67	175	310	133	128	405	354	200	125	215	127	287	272	113	140	164	176	d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__Blastocatellales; f__Blastocatellaceae
LOWRY-BTS-20	723	1403	1535	140	260	43	42	48	136	83	47	221	274	114	30	54	57	128	135	70	74	32	52	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Propionibacteriales; f__Nocardioidaceae; g__Marmoricola
LOWRY-BTS-21	428	759	499	113	169	110	94	141	221	76	119	313	376	189	101	145	146	187	198	93	109	158	212	d__Bacteria; p__Nitrospirota; c__Nitrospiria; o__Nitrospirales; f__Nitrospiraceae; g__Nitrospira; s__Nitrospira_marina
LOWRY-BTS-22	481	905	616	151	655	114	45	176	165	82	65	192	170	107	138	55	46	96	131	57	138	155	155	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae
LOWRY-BTS-23	570	977	591	184	292	119	54	139	194	63	53	223	384	128	90	117	84	167	99	100	118	80	88	d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia; o__Thermoanaerobaculales; f__Thermoanaerobaculaceae; g__Subgroup_10; s__uncultured_bacterium
LOWRY-BTS-24	651	1063	911	133	352	154	48	131	183	96	81	137	152	69	149	60	55	101	71	23	45	92	130	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Dongiales; f__Dongiaceae; g__Dongia
LOWRY-BTS-25	513	1063	378	81	354	135	61	137	186	62	85	211	238	88	134	105	106	277	103	27	51	60	112	d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales; f__uncultured; g__uncultured
LOWRY-BTS-26	249	614	464	114	180	76	84	92	291	128	61	474	325	148	58	118	120	268	183	109	132	80	89	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Pseudonocardiales; f__Pseudonocardiaceae; g__Pseudonocardia
LOWRY-BTS-27	274	524	423	60	217	120	57	112	218	110	68	218	315	135	79	114	64	158	125	44	82	78	118	d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia; o__Thermoanaerobaculales; f__Thermoanaerobaculaceae; g__Subgroup_10
LOWRY-BTS-28	306	634	257	55	293	130	26	161	160	69	43	135	224	115	155	88	57	113	151	57	112	129	109	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Ga0077536; f__Ga0077536; g__Ga0077536
LOWRY-BTS-29	499	1123	1115	122	378	62	0	22	47	0	25	44	34	27	12	11	11	33	23	11	10	17	20	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Rhodanobacteraceae; g__Dokdonella
LOWRY-BTS-30	494	844	792	134	263	42	20	49	134	46	57	143	123	64	47	45	27	78	55	19	28	33	46	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Hyphomicrobium
LOWRY-BTS-31	270	659	406	45	148	138	51	139	127	52	62	156	207	117	110	92	52	121	109	48	76	138	119	d__Bacteria; p__Desulfobacterota; c__uncultured; o__uncultured; f__uncultured; g__uncultured; s__uncultured_sludge
LOWRY-BTS-32	248	951	442	48	271	38	32	72	93	45	42	108	172	73	62	108	59	226	111	62	71	41	57	d__Bacteria; p__Planctomycetota; c__Planctomycetes; o__Planctomycetales; f__uncultured; g__uncultured; s__uncultured_Planctomyces
LOWRY-BTS-33	322	520	152	43	403	204	47	182	159	83	69	206	174	74	80	66	33	86	124	37	99	102	155	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Rhodocyclaceae; g__Sulfuritalea; s__uncultured_beta
LOWRY-BTS-34	429	811	838	78	193	78	0	70	101	60	0	95	114	78	0	0	69	90	107	0	0	54	0	d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Microtrichales; f__Microtrichaceae; g__uncultured
LOWRY-BTS-35	208	331	339	70	70	59	46	56	174	69	37	263	222	136	61	129	98	203	163	76	87	48	102	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Acetobacterales; f__Acetobacteraceae
LOWRY-BTS-36	363	673	479	99	380	94	26	125	73	52	26	98	126	69	132	39	26	50	53	12	26	33	41	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Acetobacterales; f__Acetobacteraceae; g__Rhodopila; s__uncultured_bacterium
LOWRY-BTS-37	242	627	136	43	298	184	45	168	105	51	61	175	158	76	72	73	44	150	63	31	44	103	79	d__Bacteria; p__Planctomycetota; c__OM190; o__OM190; f__OM190; g__OM190
LOWRY-BTS-38	185	382	226	0	118	107	0	156	151	47	67	165	208	71	92	73	71	286	70	36	166	57	62	d__Bacteria; p__Dadabacteria; c__Dadabacteriia; o__Dadabacteriales; f__Dadabacteriales; g__Dadabacteriales; s__uncultured_candidate
LOWRY-BTS-39	388	717	728	77	176	0	0	33	56	0	25	109	142	89	33	30	0	90	47	37	35	0	31	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Propionibacteriales; f__Nocardioidaceae; g__Nocardioides; s__uncultured_bacterium
LOWRY-BTS-40	192	653	431	112	199	68	34	89	111	41	0	97	180	63	0	67	0	154	72	51	69	39	39	d__Bacteria; p__Dadabacteria; c__Dadabacteriia; o__Dadabacteriales; f__Dadabacteriales; g__Dadabacteriales; s__uncultured_candidate
LOWRY-BTS-41	356	578	503	70	114	36	34	52	123	48	43	92	146	70	48	48	41	62	56	34	48	40	70	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Hyphomicrobium
LOWRY-BTS-42	296	632	291	68	245	72	26	100	76	33	31	130	112	56	54	42	38	92	66	27	45	61	72	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Ga0077536; f__Ga0077536; g__Ga0077536
LOWRY-BTS-43	620	591	505	143	352	37	16	26	21	18	0	35	31	27	17	13	0	0	15	0	34	58	62	d__Bacteria; p__Verrucomicrobiota; c__Chlamydiae; o__Chlamydiales; f__Simkaniaceae; g__uncultured; s__uncultured_Chlamydiales
LOWRY-BTS-44	166	345	288	38	109	107	29	94	128	26	44	136	180	64	70	55	46	86	94	35	65	58	73	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__uncultured; f__uncultured; g__uncultured; s__uncultured_bacterium
LOWRY-BTS-45	237	420	348	93	88	40	22	53	113	47	53	130	150	113	48	78	40	115	62	30	26	16	32	d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__Gaiellales; f__uncultured; g__uncultured; s__metagenome
